name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,created_at
Cellecor 80 cm (32 inch) Full HD LED Smart Android TV,9699,17999,46% off,0,0,0,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Standard Manufacturer Warranty From Cellecor']",2022-09-24 23:32:57.900542+05:30
SAMSUNG Q60BAKL 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,140690,209900,32% off,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']",2022-09-24 23:32:58.561588+05:30
SAMSUNG 7 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,36590,49972,26% off,11,0,4.2,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product.']",2022-09-24 23:32:58.561588+05:30
Hisense U80G Series 189 cm (75 inch) QLED Ultra HD (8K) Smart Android TV,389990,499990,22% off,0,0,0,"['Operating System: Android', 'Ultra HD (8K) 7680 x 4320 Pixels', '2 Years Comprehensive Warranty']",2022-09-24 23:32:58.562588+05:30
Adsun 80 cm (32 inch) HD Ready LED TV,6653,16999,60% off,10778,1544,3.8,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",2022-09-24 23:32:58.562588+05:30
SAMSUNG Series 6 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,294900,294900,0,3,0,4.7,"['Operating System: Tizen', 'Ultra HD (4K) 3840 × 2160 Pixels', '1 Year Warranty']",2022-09-24 23:32:58.562588+05:30
Sansui (32 inch) HD Ready LED TV,21499,22990,6% off,0,0,0,"['HD Ready 1366 x 768 Pixels', '1 Year Sansui India Warranty']",2022-09-24 23:32:58.563588+05:30
LEEMA 127 cm (50 inch) Full HD LED Smart TV,24990,45999,45% off,0,0,0,"['Full HD 1920x1080 Pixels', '1 Year']",2022-09-24 23:32:58.563588+05:30
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,6240,18999,67% off,10778,1544,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '3 Years Standard Manufacturer Warranty from Adsun']",2022-09-24 23:32:58.563588+05:30
Akai 60 cm (24 inch) HD Ready LED TV,9357,15990,41% off,0,0,0,"['HD Ready 1366*768 Pixels', '10*2 Speaker Output', '60 Hz Refresh Rate', '1 x HDMI | 2 x USB', '1 Year Comprehensive Warranty']",2022-09-24 23:32:58.564589+05:30
SAMSUNG 8 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,58550,72900,19% off,8,1,4.8,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product.']",2022-09-24 23:32:58.564589+05:30
Panasonic 81.28 cm (32 inch) HD Ready LED TV,16530,19990,17% off,0,0,0,"['HD Ready 1366 x 768 Pixels', '1 YEAR']",2022-09-24 23:32:58.564589+05:30
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,8099,29999,73% off,10778,1544,3.8,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'A+ Grade Panel', '3 Years Standard Manufacturer Warranty from Adsun']",2022-09-24 23:32:58.565587+05:30
SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,112199,159990,29% off,3,1,3.7,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Manufacturer Warranty']",2022-09-24 23:32:58.565587+05:30
Thomson 9R Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,27999,46999,40% off,11735,2902,4.4,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty on Product & 6 Months on Accessories']",2022-09-24 23:32:58.565587+05:30
SAMSUNG Series 7 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV,239999,394900,39% off,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive and 1 Year Additional on Panel from Samsung']",2022-09-24 23:32:58.565587+05:30
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,7829,21999,64% off,10778,1544,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '3 Years of warranty']",2022-09-24 23:32:58.566588+05:30
LG 122 cm (48 inch) OLED Ultra HD (4K) Smart TV,91190,110690,17% off,5,2,2.4,"['Netflix|Disney+Hotstar|Youtube', 'Ultra HD (4K) 3,840 x 2,160 Pixels', '1 Speaker Output', '120 Hz Refresh Rate', '4 x HDMI | 3 x USB', 'Manufacturer Warranty']",2022-09-24 23:32:58.566588+05:30
SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,440900,440900,0,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung']",2022-09-24 23:32:58.566588+05:30
LEEMA 98 cm (40 inch) HD Ready LED Smart TV,13990,27990,50% off,0,0,0,"['HD Ready 1366*768 Pixels', '1 Year Domestic Warranty']",2022-09-24 23:32:58.566588+05:30
Adsun 60 cm (24 inch) HD Ready LED TV,5088,12999,60% off,10778,1544,3.8,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",2022-09-24 23:32:58.567588+05:30
InnoQ Super Bright 80 cm (32 inch) HD Ready LED TV with With Pixel Boost Engine & Thunder Audio Speake...,6921,21990,68% off,1626,287,3.9,"['HD Ready 1366 x 768 Pixels', '1 Year Limited Domestic Warranty']",2022-09-24 23:32:58.567588+05:30
TCL P725 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,62990,109990,42% off,3,1,5,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '2 Year Product Warranty']",2022-09-24 23:32:58.567588+05:30
Sansui Prime Series 80 cm (32 inch) HD Ready LED Smart Android Based TV with Bezel-less Design (BLACK)...,12650,19995,36% off,0,0,0,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Comprehensive Warranty']",2022-09-24 23:32:58.568588+05:30
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,11519,22999,49% off,10778,1544,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",2022-09-24 23:32:58.568588+05:30
Feltron 109 cm (43 inch) Full HD LED Smart Android Based TV,16990,29990,43% off,0,0,0,"['Operating System: Android Based', 'Full HD 1920 x 1080 Pixels', '1 Year Manufacturer Warranty from the Date of Purchase']",2022-09-24 23:32:59.401921+05:30
CORNEA Bezelless 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,28799,39999,28% off,0,0,0,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Standard Manufacturer Warranty From Cornea']",2022-09-24 23:32:59.401921+05:30
Sansui 80 cm (32 inch) HD Ready LED Smart TV,12650,19990,36% off,0,0,0,"['HD Ready 1366 x 768 Pixels', '1 year comprehensive warranty']",2022-09-24 23:32:59.401921+05:30
Adsun 80 cm (32 inch) HD Ready LED TV,6653,16999,60% off,10778,1544,3.8,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",2022-09-24 23:32:59.401921+05:30
IMPEX Gloria Series 81.28 cm (32 inch) HD Ready LED TV,18648,28690,35% off,0,0,0,"['HD Ready 1366 x 768 Pixels', 'Units and components contained therein warranted against defective material   Workmanship for a period of 1 year from the date of purchase.']",2022-09-24 23:32:59.402921+05:30
Thomson 9A Series 108 cm (43 inch) Full HD LED Smart Android TV,18499,25999,28% off,75912,16557,4.4,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Warranty on Product & 6 Months on Accessories']",2022-09-24 23:32:59.402921+05:30
LG Nanocell 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV,109990,209900,47% off,4,0,4.8,"['Operating System: WebOS', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']",2022-09-24 23:32:59.402921+05:30
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,11519,22999,49% off,10778,1544,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",2022-09-24 23:32:59.403920+05:30
LG 165.1 cm (65 inch) OLED Ultra HD (4K) Smart TV,174990,329990,46% off,0,0,0,"['Ultra HD (4K) 3840 x 2160 Pixels', '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']",2022-09-24 23:32:59.403920+05:30
SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,274900,274900,0,2,2,5,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '40 W Speaker Output', '200 Hz Refresh Rate', '4 x HDMI | 3 x USB', 'A+', '1 Year Comprehensive and 1 Year Additional on Panel from Samsung']",2022-09-24 23:32:59.403920+05:30
SAMSUNG 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,89999,149900,39% off,29,4,4.5,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive and 1 Year Additional on Panel from Samsung']",2022-09-24 23:32:59.403920+05:30
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,8099,29999,73% off,10778,1544,3.8,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'A+ Grade Panel', '3 Years Standard Manufacturer Warranty from Adsun']",2022-09-24 23:32:59.404921+05:30
Panasonic 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV,40960,56990,28% off,0,0,0,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty Remi Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module']",2022-09-24 23:32:59.404921+05:30
Lloyd 80 cm (32 inch) HD Ready LED Smart TV,16134,26890,40% off,0,0,0,"['HD Ready ?1366*768 Pixels', 'COMES WITH  1YR  WARRANTY']",2022-09-24 23:32:59.404921+05:30
LG 165.1 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,256500,399990,35% off,0,0,0,"['Operating System: WebOS', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']",2022-09-24 23:32:59.404921+05:30
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,7829,21999,64% off,10778,1544,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '3 Years of warranty']",2022-09-24 23:32:59.406035+05:30
